City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Kijang,KR,35.2442,129.2139,47.57,20,0,3.27,clear sky
314,Beringovskiy,RU,63.05,179.3167,3.87,96,70,11.18,broken clouds
315,Usinsk,RU,65.9939,57.5281,3.78,95,100,5.35,overcast clouds
316,Lazaro Cardenas,MX,17.9583,-102.2,71.51,86,72,3.98,broken clouds
317,Chihuahua,MX,28.5,-106.0,55.99,19,27,6.64,scattered clouds
318,Port Blair,IN,11.6667,92.75,83.14,66,35,11.74,scattered clouds
319,Praya,CV,14.9215,-23.5087,72.18,71,87,17.16,overcast clouds
320,Dudinka,RU,69.4058,86.1778,-20.51,92,94,19.39,overcast clouds
321,Manbij,SY,36.5281,37.9549,47.17,74,98,6.42,overcast clouds
322,Mookane,BW,-23.688,26.6595,73.13,69,92,13.04,overcast clouds
323,Ostrovnoy,RU,68.0531,39.5131,21.42,94,100,15.35,light snow
324,Stoughton,US,42.1251,-71.1023,32.29,76,100,0.0,overcast clouds
325,Taunggyi,MM,20.7833,97.0333,72.91,24,19,4.36,few clouds
326,Praia,CV,14.9215,-23.5087,72.18,71,87,17.16,overcast clouds
327,Honiara,SB,-9.4333,159.95,84.87,67,69,8.55,broken clouds
328,Teruel,ES,40.6667,-0.6667,35.56,95,66,19.84,broken clouds
329,Hay River,CA,60.8156,-115.7999,-8.18,96,98,8.01,overcast clouds
330,Ridgecrest,US,35.6225,-117.6709,39.06,81,0,1.43,clear sky
331,Brae,GB,60.3964,-1.353,42.71,76,98,15.7,overcast clouds
332,Saldanha,ZA,-33.0117,17.9442,66.42,78,35,3.74,scattered clouds
333,Mikhaylov,RU,54.2292,39.0186,33.04,97,100,9.17,snow
334,Belmonte,BR,-15.8631,-38.8828,75.7,89,99,10.29,overcast clouds
335,Kloulklubed,PW,7.0419,134.2556,81.1,67,76,4.72,broken clouds
336,Yuncheng,CN,35.0231,110.9928,43.36,56,13,0.51,few clouds
337,Taltal,CL,-25.4,-70.4833,65.25,82,40,0.85,scattered clouds
338,Krasnoborsk,RU,61.5598,45.934,21.02,95,100,4.63,light snow
339,Kieta,PG,-6.2167,155.6333,81.16,77,100,3.69,light rain
340,Maceio,BR,-9.6658,-35.7353,76.44,94,20,3.44,few clouds
341,Gushikawa,JP,26.3544,127.8686,67.59,60,100,13.8,overcast clouds
342,Mbala,ZM,-8.8402,31.3659,67.87,74,90,2.28,overcast clouds
343,Palmer,US,42.1584,-72.3287,31.37,75,100,3.44,overcast clouds
344,Aripuana,BR,-9.1667,-60.6333,71.91,99,100,2.42,overcast clouds
345,Gat,IL,31.61,34.7642,62.4,17,14,4.83,few clouds
